# ACE/gr parameter file
#
@    version 50122
@    world xmin 0.25
@    world xmax 0.75
@    title font 5
@    xaxis  tick major 0.1
@    xaxis  tick minor 0.02
@    xaxis  label "(r-r\s1\N)/d"
@    xaxis  label font 5
@    xaxis  label char size 1.2
@    xaxis  ticklabel font 4
@    xaxis  ticklabel char size 1
@    yaxis  tick major .1
@    yaxis  tick minor .02
@    yaxis  label font 4
@    yaxis  label char size 1.2
@    yaxis  ticklabel font 5
@    yaxis  ticklabel char size 1
@    title "density between neighbors"
@    yaxis  label "n(r) (electrons/bohr\S3\N)"
@    world ymin .0
@    world ymax .2
@    yaxis  tick major .05
@    yaxis  tick minor 0.01
@ s0 color  1
@ s0 linestyle  1
@ legend string 0 "(1)-(1)"
@target s0
@type xy
  .1000000000  .4531035386
  .1050000000  .4370118467
  .1100000000  .4191774064
  .1150000000  .4001288418
  .1200000000  .3802968914
  .1250000000  .3600061643
  .1300000000  .3397033081
  .1350000000  .3195670288
  .1400000000  .2998655031
  .1450000000  .2807360741
  .1500000000  .2623096896
  .1550000000  .2446848035
  .1600000000  .2279221864
  .1650000000  .2120318275
  .1700000000  .1970263760
  .1750000000  .1829161157
  .1800000000  .1697226953
  .1850000000  .1573774101
  .1900000000  .1458508835
  .1950000000  .1351087681
  .2000000000  .1251130743
  .2050000000  .1158233694
  .2100000000  .1071978380
  .2150000000  .0991941982
  .2200000000  .0917704728
  .2250000000  .0848856218
  .2300000000  .0785187830
  .2350000000  .0726550891
  .2400000000  .0672209995
  .2450000000  .0621813987
  .2500000000  .0575036293
  .2550000000  .0531575501
  .2600000000  .0491671742
  .2650000000  .0454867495
  .2700000000  .0420587279
  .2750000000  .0388614613
  .2800000000  .0359314219
  .2850000000  .0332253420
  .2900000000  .0306912164
  .2950000000  .0283395658
  .3000000000  .0261953968
  .3050000000  .0241775068
  .3100000000  .0223019833
  .3150000000  .0205921444
  .3200000000  .0189741759
  .3250000000  .0174886160
  .3300000000  .0161134960
  .3350000000  .0148050671
  .3400000000  .0136375255
  .3450000000  .0125207482
  .3500000000  .0114966216
  .3550000000  .0105437062
  .3600000000  .0096474328
  .3650000000  .0088344863
  .3700000000  .0080522417
  .3750000000  .0073588280
  .3800000000  .0066843068
  .3850000000  .0060870959
  .3900000000  .0055082911
  .3950000000  .0049937602
  .4000000000  .0044972610
  .4050000000  .0040569264
  .4100000000  .0036314048
  .4150000000  .0032579099
  .4200000000  .0028938166
  .4250000000  .0025808517
  .4300000000  .0022715474
  .4350000000  .0020123723
  .4400000000  .0017575583
  .4450000000  .0015412549
  .4500000000  .0013366277
  .4550000000  .0011581538
  .4600000000  .0010003124
  .4650000000  .0008553136
  .4700000000  .0007417623
  .4750000000  .0006294126
  .4800000000  .0006026454
  .4850000000  .0005414743
  .4900000000  .0004979517
  .4950000000  .0004719073
  .5000000000  .0004632374
  .5050000000  .0004719073
  .5100000000  .0004979517
  .5150000000  .0005414743
  .5200000000  .0006026454
  .5250000000  .0006294126
  .5300000000  .0007417623
  .5350000000  .0008553136
  .5400000000  .0010003124
  .5450000000  .0011581538
  .5500000000  .0013366277
  .5550000000  .0015412549
  .5600000000  .0017575583
  .5650000000  .0020123723
  .5700000000  .0022715474
  .5750000000  .0025808517
  .5800000000  .0028938166
  .5850000000  .0032579099
  .5900000000  .0036314048
  .5950000000  .0040569264
  .6000000000  .0044972610
  .6050000000  .0049937602
  .6100000000  .0055082911
  .6150000000  .0060870959
  .6200000000  .0066843068
  .6250000000  .0073588280
  .6300000000  .0080522417
  .6350000000  .0088344863
  .6400000000  .0096474328
  .6450000000  .0105437062
  .6500000000  .0114966216
  .6550000000  .0125207482
  .6600000000  .0136375255
  .6650000000  .0148050671
  .6700000000  .0161134960
  .6750000000  .0174886160
  .6800000000  .0189741759
  .6850000000  .0205921444
  .6900000000  .0223019833
  .6950000000  .0241775068
  .7000000000  .0261953968
  .7050000000  .0283395658
  .7100000000  .0306912164
  .7150000000  .0332253420
  .7200000000  .0359314219
  .7250000000  .0388614613
  .7300000000  .0420587279
  .7350000000  .0454867495
  .7400000000  .0491671742
  .7450000000  .0531575501
  .7500000000  .0575036293
  .7550000000  .0621813987
  .7600000000  .0672209995
  .7650000000  .0726550891
  .7700000000  .0785187830
  .7750000000  .0848856218
  .7800000000  .0917704728
  .7850000000  .0991941982
  .7900000000  .1071978380
  .7950000000  .1158233694
  .8000000000  .1251130743
  .8050000000  .1351087681
  .8100000000  .1458508835
  .8150000000  .1573774101
  .8200000000  .1697226953
  .8250000000  .1829161157
  .8300000000  .1970263760
  .8350000000  .2120318275
  .8400000000  .2279221864
  .8450000000  .2446848035
  .8500000000  .2623096896
  .8550000000  .2807360741
  .8600000000  .2998655031
  .8650000000  .3195670288
  .8700000000  .3397033081
  .8750000000  .3600061643
  .8800000000  .3802968914
  .8850000000  .4001288418
  .8900000000  .4191774064
  .8950000000  .4370118467
&
@ s1 color  1
@ s1 linestyle  1
@target s1
@type xy
  .4753856227 -10.000
  .4753856227  10.000
  .5246143772  10.000
  .5246143772 -10.000
&
