# ACE/gr parameter file
#
@    version 50122
@    world xmin 0.25
@    world xmax 0.75
@    title font 5
@    xaxis  tick major 0.1
@    xaxis  tick minor 0.02
@    xaxis  label "(r-r\s1\N)/d"
@    xaxis  label font 5
@    xaxis  label char size 1.2
@    xaxis  ticklabel font 4
@    xaxis  ticklabel char size 1
@    yaxis  tick major .1
@    yaxis  tick minor .02
@    yaxis  label font 4
@    yaxis  label char size 1.2
@    yaxis  ticklabel font 5
@    yaxis  ticklabel char size 1
@    title "density between neighbors"
@    yaxis  label "n(r) (electrons/bohr\S3\N)"
@    world ymin .0
@    world ymax .2
@    yaxis  tick major .05
@    yaxis  tick minor 0.01
@ s0 color  1
@ s0 linestyle  1
@ legend string 0 "(1)-(1)"
@target s0
@type xy
  .1000000000  4.800136125
  .1050000000  4.478148731
  .1100000000  4.228079237
  .1150000000  4.016185751
  .1200000000  3.822451538
  .1250000000  3.634693919
  .1300000000  3.447833720
  .1350000000  3.259061533
  .1400000000  3.069354446
  .1450000000  2.878977658
  .1500000000  2.690552928
  .1550000000  2.505386999
  .1600000000  2.325329695
  .1650000000  2.151794057
  .1700000000  1.985796498
  .1750000000  1.828229676
  .1800000000  1.680032234
  .1850000000  1.541093991
  .1900000000  1.411492805
  .1950000000  1.291144613
  .2000000000  1.179830445
  .2050000000  1.077223919
  .2100000000  .9829177495
  .2150000000  .8964482241
  .2200000000  .8173169639
  .2250000000  .7450095647
  .2300000000  .6792640774
  .2350000000  .6198780849
  .2400000000  .5658460479
  .2450000000  .5166809495
  .2500000000  .4719300285
  .2550000000  .4311777717
  .2600000000  .3946955027
  .2650000000  .3618460211
  .2700000000  .3318773665
  .2750000000  .3045058461
  .2800000000  .2801315186
  .2850000000  .2581855262
  .2900000000  .2380450137
  .2950000000  .2198130817
  .3000000000  .2037120209
  .3050000000  .1888376806
  .3100000000  .1753522391
  .3150000000  .1634483264
  .3200000000  .1523693124
  .3250000000  .1424981971
  .3300000000  .1335883551
  .3350000000  .1252374637
  .3400000000  .1180813023
  .3450000000  .1113125809
  .3500000000  .1052839162
  .3550000000  .0997925388
  .3600000000  .0947231790
  .3650000000  .0902596192
  .3700000000  .0860051074
  .3750000000  .0823668552
  .3800000000  .0788436861
  .3850000000  .0758277751
  .3900000000  .0729186197
  .3950000000  .0704072849
  .4000000000  .0679964559
  .4050000000  .0659136503
  .4100000000  .0639091273
  .4150000000  .0621915171
  .4200000000  .0605204498
  .4250000000  .0591158868
  .4300000000  .0577277518
  .4350000000  .0565869510
  .4400000000  .0554661394
  .4450000000  .0545256749
  .4500000000  .0536392943
  .4550000000  .0528700123
  .4600000000  .0521930430
  .4650000000  .0515716204
  .4700000000  .0510863204
  .4750000000  .0506061559
  .4800000000  .0507037177
  .4850000000  .0504595940
  .4900000000  .0502862590
  .4950000000  .0501826745
  .5000000000  .0501482158
  .5050000000  .0501826745
  .5100000000  .0502862590
  .5150000000  .0504595940
  .5200000000  .0507037177
  .5250000000  .0506061559
  .5300000000  .0510863204
  .5350000000  .0515716204
  .5400000000  .0521930430
  .5450000000  .0528700123
  .5500000000  .0536392943
  .5550000000  .0545256749
  .5600000000  .0554661394
  .5650000000  .0565869510
  .5700000000  .0577277518
  .5750000000  .0591158868
  .5800000000  .0605204498
  .5850000000  .0621915171
  .5900000000  .0639091273
  .5950000000  .0659136503
  .6000000000  .0679964559
  .6050000000  .0704072849
  .6100000000  .0729186197
  .6150000000  .0758277751
  .6200000000  .0788436861
  .6250000000  .0823668552
  .6300000000  .0860051074
  .6350000000  .0902596192
  .6400000000  .0947231790
  .6450000000  .0997925388
  .6500000000  .1052839162
  .6550000000  .1113125809
  .6600000000  .1180813023
  .6650000000  .1252374637
  .6700000000  .1335883551
  .6750000000  .1424981971
  .6800000000  .1523693124
  .6850000000  .1634483264
  .6900000000  .1753522391
  .6950000000  .1888376806
  .7000000000  .2037120209
  .7050000000  .2198130817
  .7100000000  .2380450137
  .7150000000  .2581855262
  .7200000000  .2801315186
  .7250000000  .3045058461
  .7300000000  .3318773665
  .7350000000  .3618460211
  .7400000000  .3946955027
  .7450000000  .4311777717
  .7500000000  .4719300285
  .7550000000  .5166809495
  .7600000000  .5658460479
  .7650000000  .6198780849
  .7700000000  .6792640774
  .7750000000  .7450095647
  .7800000000  .8173169639
  .7850000000  .8964482241
  .7900000000  .9829177495
  .7950000000  1.077223919
  .8000000000  1.179830445
  .8050000000  1.291144613
  .8100000000  1.411492805
  .8150000000  1.541093991
  .8200000000  1.680032234
  .8250000000  1.828229676
  .8300000000  1.985796498
  .8350000000  2.151794057
  .8400000000  2.325329695
  .8450000000  2.505386999
  .8500000000  2.690552928
  .8550000000  2.878977658
  .8600000000  3.069354446
  .8650000000  3.259061533
  .8700000000  3.447833720
  .8750000000  3.634693919
  .8800000000  3.822451538
  .8850000000  4.016185751
  .8900000000  4.228079237
  .8950000000  4.478148731
&
@ s1 color  1
@ s1 linestyle  1
@target s1
@type xy
  .4753856227 -10.000
  .4753856227  10.000
  .5246143772  10.000
  .5246143772 -10.000
&
